,mID,mName,mYrank,mStudio,openWkdate,DURrelease,openDTheatre,openDGross,totalDTheatre,PD_budget,totalDGross,W_gross,F_gross,Genre,mv_runtime,mv_Dir,mv_Prod,mv_Comp,OscarNom,OscarInfoURL,D_Profit,W_Profit
0,themagnificentseven,The Magnificent Seven (2016),48,sony,2016-09-23,10.0,3674.0,34703397.0,3674.0,90000000,61605901,83821057,22215156,Western,133.0,['Antoine Fuqua'],,['James Horner'],0,,-28394099,-6178943
1,storks,Storks,68,warnerbros,2016-09-23,10.0,3922.0,21311407.0,3922.0,70000000,38811274,57111274,18300000,Animation,89.0,,,,0,,-31188726,-12888726
2,woods2016,Blair Witch,79,lionsgate,2016-09-16,17.0,3121.0,9576057.0,3121.0,10000000,19127088,24027088,4900000,Horror,90.0,['Adam Wingard'],,,0,,9127088,14027088
3,bridgetjonessbaby,Bridget Jones's Baby,78,universal,2016-09-16,17.0,2927.0,8571785.0,2930.0,35000000,20978510,120878510,99900000,Romantic Comedy,122.0,['Sharon Maguire'],,,0,,-14021490,85878510
4,snowden,Snowden,81,openroads,2016-09-16,17.0,2443.0,8000058.0,2443.0,50000000,18729637,20289817,1560180,Thriller,134.0,['Oliver Stone'],,,0,,-31270363,-29710183
5,sully,Sully,21,warnerbros,2016-09-09,24.0,3525.0,35028301.0,3955.0,60000000,105387463,139887463,34500000,Drama,96.0,['Clint Eastwood'],,,0,,45387463,79887463
6,kicks,Kicks,238,focusworld,2016-09-09,21.0,3.0,32111.0,65.0,10000000,150191,150191,0,Drama,80.0,,,,0,,-9849809,-9849809
7,whentheboughbreaks,When the Bough Breaks,62,screengems,2016-09-09,24.0,2246.0,14202323.0,2246.0,10000000,28513916,28883047,369131,Drama,107.0,,,,0,,18513916,18883047
8,morgan,Morgan,116,fox,2016-09-02,28.0,2020.0,2012709.0,2020.0,8000000,3904310,7304310,3400000,Sci-Fi Thriller,92.0,['Luke Scott'],['Ridley Scott'],,0,,-4095690,-695690
9,lightbetweenoceans,The Light Between Oceans,89,buenavista,2016-09-02,31.0,1500.0,4765838.0,1500.0,20000000,12239465,12672556,433091,Drama,132.0,['Derek Cianfrance'],,,0,,-7760535,-7327444
10,greater,Greater,142,hammond,2016-08-26,38.0,340.0,627974.0,340.0,9000000,1855486,1855486,0,Family,130.0,,[],,0,,-7144514,-7144514
11,handsofstone,Hands of Stone,110,weinsteincompany,2016-08-26,35.0,810.0,1751388.0,2011.0,20000000,4683754,4683754,0,Drama,105.0,,,,0,,-15316246,-15316246
12,dontbreathe,Don't Breathe,23,screengems,2016-08-26,38.0,3051.0,26411706.0,3384.0,10000000,84734937,123523487,38788550,Horror Thriller,88.0,['Fede Alvarez'],,,0,,74734937,113523487
13,kuboandthetwostrings,Kubo and the Two Strings,46,focus,2016-08-19,45.0,3260.0,12608372.0,3279.0,55000000,46723776,61323776,14600000,Animation,101.0,['Travis Knight'],,['Dario Marianelli'],0,,-8276224,6323776
14,armsandthedudes,War Dogs,49,warnerbros,2016-08-19,42.0,3258.0,14685305.0,3258.0,50000000,42641982,76941982,34300000,Comedy / Drama,114.0,['Todd Phillips'],,,0,,-7358018,26941982
15,sausageparty,Sausage Party,20,sony,2016-08-12,52.0,3103.0,34263534.0,3135.0,19000000,96776399,123010413,26234014,Animation,89.0,,,['Alan Menken'],0,,77776399,104010413
16,florencefosterjenkins,Florence Foster Jenkins,63,paramount,2016-08-12,52.0,1528.0,6601313.0,1528.0,29000000,27156624,44156624,17000000,Drama,110.0,['Stephen Frears'],,,0,,-1843376,15156624
17,dc2016,Suicide Squad,8,warnerbros,2016-08-05,59.0,4255.0,133682248.0,4255.0,175000000,320840629,734440629,413600000,Action / Adventure,130.0,['David Ayer'],,['Steven Price'],0,,145840629,559440629
18,operationchromite,Operation Chromite,164,cjentertainment,2016-08-05,49.0,1.0,31662.0,114.0,12700000,1022720,50012562,48989842,War Drama,115.0,,,,0,,-11677280,37312562
19,bourne5,Jason Bourne,9,universal,2016-07-29,63.0,4026.0,59215365.0,4039.0,120000000,161702860,399102860,237400000,Action,123.0,['Paul Greengrass'],,,0,,41702860,279102860
20,untitledlucasmoore,Bad Moms,16,stx,2016-07-29,66.0,3215.0,23817340.0,3215.0,20000000,112509460,166109460,53600000,Comedy,101.0,,,,0,,92509460,146109460
21,nerve,Nerve,51,lionsgate,2016-07-27,68.0,2538.0,9445456.0,2538.0,20000000,38562439,61662439,23100000,Thriller,96.0,,,,0,,18562439,41662439
22,iceage5,Ice Age: Collision Course,32,fox,2016-07-22,70.0,3992.0,21373064.0,3997.0,105000000,63725304,403725304,340000000,Animation,94.0,['Mike Thurmeier'],,,0,,-41274696,298725304
23,startrek2016,Star Trek Beyond,10,paramount,2016-07-22,73.0,3928.0,59253211.0,3928.0,185000000,158428433,336228433,177800000,Sci-Fi Adventure,120.0,['Justin Lin'],,['Michael Giacchino'],0,,-26571567,151228433
24,newline0116,Lights Out,29,wb-newline,2016-07-22,70.0,2818.0,21688103.0,2835.0,5000000,67268835,141868835,74600000,Horror,81.0,,,,0,,62268835,136868835
25,hillarysamerica,Hillary's America: The Secret History of the Democratic Party,87,qualityflix,2016-07-15,75.0,3.0,74814.0,1217.0,5000000,13086824,13086824,0,Documentary,100.0,"[""Dinesh D'Souza""]",,,0,,8086824,8086824
26,ghostbusters2016,Ghostbusters (2016),13,sony,2016-07-15,73.0,3963.0,46018755.0,3963.0,144000000,127448192,228045022,100596830,Horror Comedy,108.0,['Paul Feig'],,,0,,-16551808,84045022
27,theinfiltrator,The Infiltrator,83,broadgreen,2016-07-13,79.0,1601.0,5303775.0,1601.0,47500000,15431420,17515844,2084424,Drama / Thriller,127.0,['Brad Furman'],,,0,,-32068580,-29984156
28,mikeanddave,Mike and Dave Need Wedding Dates,47,fox,2016-07-08,84.0,2982.0,16628170.0,3008.0,33000000,45989552,75889552,29900000,Comedy,98.0,,,,0,,12989552,42889552
29,illumination2015,The Secret Life of Pets,3,universal,2016-07-08,87.0,4370.0,104352905.0,4381.0,75000000,364931360,833731360,468800000,Animation,90.0,['Chris Renaud'],,,0,,289931360,758731360
30,tarzan2016,The Legend of Tarzan,15,warnerbros,2016-07-01,77.0,3561.0,38527856.0,3591.0,180000000,126643061,349143061,222500000,Action / Adventure,109.0,['David Yates'],,['Rupert Gregson-Williams'],0,,-53356939,169143061
31,bfg,The BFG,38,buenavista,2016-07-01,94.0,3357.0,18775350.0,3392.0,140000000,55436675,147586675,92150000,Adventure,117.0,['Steven Spielberg'],,['John Williams'],0,,-84563325,7586675
32,purge3,The Purge: Election Year,25,universal,2016-07-01,49.0,2796.0,31515110.0,2821.0,10000000,79042440,116642440,37600000,Thriller,105.0,,,,0,,69042440,106642440
33,freestateofjones,Free State of Jones,71,stx,2016-06-24,35.0,2815.0,7572206.0,2815.0,50000000,20810036,21981309,1171273,Action Drama,139.0,['Gary Ross'],,,0,,-29189964,-28018691
34,id42,Independence Day: Resurgence,18,fox,2016-06-24,84.0,4130.0,41039944.0,4130.0,165000000,103144286,387644286,284500000,Sci-Fi Adventure,120.0,['Roland Emmerich'],,,0,,-61855714,222644286
35,theshallows,The Shallows,40,sony,2016-06-24,94.0,2962.0,16800868.0,2962.0,13000000,55121623,118482550,63360927,Horror,85.0,['Jaume Collet-Serra'],,,0,,42121623,105482550
