,budgetListIDX,budgetListName,bLnameLength,MvName,mvNameLength,maxFuzzRatioIDX,maxFuzzRatio,maxFuzzSetRatioIDX,maxFuzzSetRatio,budgetListMvReleaseYR,MvReleaseYR
0,0,Miss Peregrine’s Home for Peculiar Children,43,Our Children,12,1463,53,2415,80,2016,2013.0
1,1,Deepwater Horizon,17,Event Horizon,13,10401,67,10401,73,2016,1997.0
2,2,The Magnificent Seven,21,The Magnificent Seven (2016),28,47,86,47,100,2016,2016.0
3,3,Storks,6,Storks,6,67,100,67,100,2016,2016.0
4,4,Blair Witch,11,Blair Witch,11,78,100,78,100,2016,2016.0
5,5,Bridget Jones’s Baby,20,Bridget Jones's Baby,20,77,95,77,100,2016,2016.0
6,6,Snowden,7,Snowden,7,80,100,80,100,2016,2016.0
7,7,Sully,5,Sully,5,20,100,20,100,2016,2016.0
8,8,Kicks,5,Kicks,5,237,100,237,100,2016,2016.0
9,9,When the Bough Breaks,21,When the Bough Breaks,21,61,100,61,100,2016,2016.0
10,10,Morgan,6,Morgan,6,115,100,115,100,2016,2016.0
11,11,Yoga Hosers,11,Road House,10,12481,67,12481,67,2016,1989.0
12,12,Antibirth,9,Birth,5,9000,67,7502,71,2016,2004.0
13,13,The Light Between Oceans,24,The Light Between Oceans,24,88,100,88,100,2016,2016.0
14,14,Greater,7,Greater,7,141,100,141,100,2016,2016.0
15,15,Hands of Stone,14,Hands of Stone,14,109,100,109,100,2016,2016.0
16,16,Don’t Breathe,13,Don't Breathe,13,22,92,22,100,2016,2016.0
17,17,Kubo and the Two Strings,24,Kubo and the Two Strings,24,45,100,45,100,2016,2016.0
18,18,Ben-Hur,7,Ben-Hur (2016),14,64,67,64,100,2016,2016.0
19,19,War Dogs,8,War Dogs,8,48,100,48,100,2016,2016.0
20,20,Pete’s Dragon,13,Pete's Dragon (2016),20,26,73,26,100,2016,2016.0
21,21,Sausage Party,13,Sausage Party,13,19,100,19,100,2016,2016.0
22,22,Florence Foster Jenkins,23,Florence Foster Jenkins,23,62,100,62,100,2016,2016.0
23,23,Suicide Squad,13,Suicide Squad,13,7,100,7,100,2016,2016.0
24,24,Operation Chromite,18,Operation Chromite,18,163,100,163,100,2016,2016.0
25,25,Jason Bourne,12,Jason Bourne,12,8,100,8,100,2016,2016.0
26,26,Bad Moms,8,Bad Moms,8,15,100,15,100,2016,2016.0
27,27,Nerve,5,Nerve,5,50,100,50,100,2016,2016.0
28,28,Ice Age: Collision Course,25,Ice Age: Collision Course,25,31,100,31,100,2016,2016.0
29,29,Star Trek Beyond,16,Star Trek Beyond,16,9,100,9,100,2016,2016.0
30,30,Lights Out,10,Lights Out,10,28,100,28,100,2016,2016.0
31,31,Hillary’s America: The Secret History of the Democratic Party,61,Hillary's America: The Secret History of the Democratic Party,61,86,98,86,100,2016,2016.0
32,32,Ghostbusters,12,Ghostbusters (2016),19,13563,100,12,100,2016,2016.0
33,33,The Infiltrator,15,The Infiltrator,15,82,100,82,100,2016,2016.0
34,34,Mike and Dave Need Wedding Dates,32,Mike and Dave Need Wedding Dates,32,46,100,46,100,2016,2016.0
35,35,The Secret Life of Pets,23,The Secret Life of Pets,23,2,100,2,100,2016,2016.0
36,36,The Wrong Side of Right,23,The Right Kind of Wrong,23,1082,68,1911,91,2016,2014.0
37,37,The Legend of Tarzan,20,The Legend of Tarzan,20,14,100,14,100,2016,2016.0
38,38,The BFG,7,The BFG,7,37,100,37,100,2016,2016.0
39,39,The Purge: Election Year,24,The Purge: Election Year,24,24,100,24,100,2016,2016.0
40,40,Fight Valley,12,Eden Valley,11,1162,67,10937,71,2016,1996.0
41,41,Free State of Jones,19,Free State of Jones,19,70,100,70,100,2016,2016.0
42,42,Independence Day: Resurgence,28,Independence Day: Resurgence,28,17,100,17,100,2016,2016.0
43,43,The Shallows,12,The Shallows,12,39,100,39,100,2016,2016.0
44,44,The Neon Demon,14,The Neon Demon,14,151,100,151,100,2016,2016.0
45,45,Central Intelligence,20,Central Intelligence,20,13,100,13,100,2016,2016.0
46,46,Finding Dory,12,Finding Dory,12,0,100,0,100,2016,2016.0
47,47,Now You See Me 2,16,Now You See Me 2,16,30,100,30,100,2016,2016.0
48,48,The Conjuring 2: The Enfield Poltergeist,40,The Conjuring 2,15,18,55,18,100,2016,2016.0
49,49,Warcraft,8,Warcraft,8,43,100,43,100,2016,2016.0
50,50,Me Before You,13,Me Before You,13,36,100,36,100,2016,2016.0
51,51,Teenage Mutant Ninja Turtles: Out of the Shadows,48,Teenage Mutant Ninja Turtles: Out of the Shadows,48,23,100,23,100,2016,2016.0
52,52,Time to Choose,14,Time to Choose,14,369,100,369,100,2016,2016.0
53,53,Popstar: Never Stop Never Stopping,34,Popstar: Never Stop Never Stopping,34,95,100,95,100,2016,2016.0
54,54,X-Men: Apocalypse,17,X-Men: Apocalypse,17,10,100,10,100,2016,2016.0
55,55,Alice Through the Looking Glass,31,Alice Through the Looking Glass,31,25,100,25,100,2016,2016.0
56,56,Une Femme Mariée,16,Marie,5,8556,57,13517,100,2016,1985.0
57,57,Neighbors 2: Sorority Rising,28,Neighbors 2: Sorority Rising,28,38,100,38,100,2016,2016.0
58,58,The Nice Guys,13,The Nice Guys,13,52,100,52,100,2016,2016.0
59,59,The Angry Birds Movie,21,The Angry Birds Movie,21,16,100,16,100,2016,2016.0
60,60,Money Monster,13,Money Monster,13,49,100,49,100,2016,2016.0
61,61,Captain America: Civil War,26,Captain America: Civil War,26,1,100,1,100,2016,2016.0
62,62,Code of Honor,13,Made of Honor,13,5006,85,5006,85,2016,2008.0
63,63,Keanu,5,Keanu,5,72,100,72,100,2016,2016.0
64,64,Compadres,9,Compadres,9,127,100,127,100,2016,2016.0
