,mID,mName,mYrank,mStudio,openWkdate,DURrelease,openDTheatre,openDGross,totalDTheatre,PD_budget,totalDGross,W_gross,F_gross,Genre,mv_runtime,mv_Dir,mv_Prod,mv_Comp,OscarNom,OscarInfoURL
0,themagnificentseven,The Magnificent Seven (2016),48,sony,2016-09-23,10.0,3674.0,34703397.0,3674.0,767376000.0,525276554.28639996,714691860.4047999,189415306.11839998,Western,133.0,['Antoine Fuqua'],,['James Horner'],0,
1,storks,Storks,68,warnerbros,2016-09-23,10.0,3922.0,21311407.0,3922.0,596848000.0,330920446.6336,486953566.63359994,156033119.99999994,Animation,89.0,,,,0,
2,woods2016,Blair Witch,79,lionsgate,2016-09-16,17.0,3121.0,9576057.0,3121.0,85264000.0,163085203.1232,204864563.12319997,41779359.99999997,Horror,90.0,['Adam Wingard'],,,0,
3,bridgetjonessbaby,Bridget Jones's Baby,78,universal,2016-09-16,17.0,2927.0,8571785.0,2930.0,298424000.0,178871167.66399997,1030658527.6639999,851787360.0,Romantic Comedy,122.0,['Sharon Maguire'],,,0,
4,snowden,Snowden,81,openroads,2016-09-16,17.0,2443.0,8000058.0,2443.0,426320000.0,159696376.9168,172999095.6688,13302718.752000004,Thriller,134.0,['Oliver Stone'],,,0,
5,sully,Sully,21,warnerbros,2016-09-09,24.0,3525.0,35028301.0,3955.0,511584000.0,898575664.5231999,1192736464.5231998,294160799.9999999,Drama,96.0,['Clint Eastwood'],,,0,
6,kicks,Kicks,238,focusworld,2016-09-09,21.0,3.0,32111.0,65.0,85264000.0,1280588.5424,1280588.5424,0.0,Drama,80.0,,,,0,
7,whentheboughbreaks,When the Bough Breaks,62,screengems,2016-09-09,24.0,2246.0,14202323.0,2246.0,85264000.0,243121053.38239998,246268411.94079998,3147358.558400005,Drama,107.0,,,,0,
8,morgan,Morgan,116,fox,2016-09-02,28.0,2020.0,2012709.0,2020.0,68211200.0,33289708.783999998,62279468.783999994,28989759.999999996,Sci-Fi Thriller,92.0,['Luke Scott'],['Ridley Scott'],,0,
9,lightbetweenoceans,The Light Between Oceans,89,buenavista,2016-09-02,31.0,1500.0,4765838.0,1500.0,170528000.0,104358574.37599999,108051281.47839999,3692707.102400005,Drama,132.0,['Derek Cianfrance'],,,0,
10,greater,Greater,142,hammond,2016-08-26,38.0,340.0,627974.0,340.0,76737600.0,15820615.8304,15820615.8304,0.0,Family,130.0,,[],,0,
11,handsofstone,Hands of Stone,110,weinsteincompany,2016-08-26,35.0,810.0,1751388.0,2011.0,170528000.0,39935560.1056,39935560.1056,0.0,Drama,105.0,,,,0,
12,dontbreathe,Don't Breathe,23,screengems,2016-08-26,38.0,3051.0,26411706.0,3384.0,85264000.0,722483966.8368,1053210659.5567999,330726692.7199999,Horror Thriller,88.0,['Fede Alvarez'],,,0,
