,ReleaseDate,mvName,ProdBudget,DGross,WwGross
0,2009-12-18,Avatar,425000000,760507625,2783918982
1,2015-12-18,Star Wars Ep. VII: The Force Awakens,306000000,936662225,2058662225
2,2007-05-24,Pirates of the Caribbean: At World's End,300000000,309420425,963420425
3,2015-11-06,Spectre,300000000,200074175,879620923
4,2012-07-20,The Dark Knight Rises,275000000,448139099,1084439099
5,2013-07-02,The Lone Ranger,275000000,89302115,260002115
6,2012-03-09,John Carter,275000000,73058679,282778100
7,2010-11-24,Tangled,260000000,200821936,586581936
8,2007-05-04,Spider-Man 3,258000000,336530303,890875303
9,2015-05-01,Avengers: Age of Ultron,250000000,459005868,1404705868
10,2016-05-06,Captain America: Civil War,250000000,408084349,1151684349
11,2016-03-25,Batman v Superman: Dawn of Justice,250000000,330360194,868160194
12,2012-12-14,The Hobbit: An Unexpected Journey,250000000,303003568,1017003568
13,2009-07-15,Harry Potter and the Half-Blood Prince,250000000,301959197,935083686
14,2013-12-13,The Hobbit: The Desolation of Smaug,250000000,258366855,960366855
15,2014-12-17,The Hobbit: The Battle of the Five Armies,250000000,255119788,955119788
16,2011-05-20,Pirates of the Caribbean: On Stranger Tides,250000000,241063875,1045663875
17,2006-06-28,Superman Returns,232000000,200120000,374085065
18,2008-11-14,Quantum of Solace,230000000,169368427,591692078
19,2012-05-04,The Avengers,225000000,623279547,1519479547
20,2006-07-07,Pirates of the Caribbean: Dead Man's Chest,225000000,423315812,1066215812
21,2013-06-14,Man of Steel,225000000,291045518,667999518
22,2008-05-16,The Chronicles of Narnia: Prince Caspian,225000000,141621490,417341288
23,2012-07-03,The Amazing Spider-Man,220000000,262030663,757890267
24,2015-06-12,Jurassic World,215000000,652198010,1670328025
25,2012-05-25,Men in Black 3,215000000,179020854,654213485
26,2009-06-24,Transformers: Revenge of the Fallen,210000000,402111870,836519699
27,2014-06-27,Transformers: Age of Extinction,210000000,245439076,1104039076
28,2006-05-26,X-Men: The Last Stand,210000000,234362462,459359555
29,2010-05-14,Robin Hood,210000000,105269730,322241588
30,2012-05-18,Battleship,209000000,65233400,305218228
31,2005-12-14,King Kong,207000000,218080025,550517357
32,2007-12-01,The Golden Compass,205000000,70107728,367262558
33,1997-12-19,Titanic,200000000,658672302,2207615668
34,2016-06-17,Finding Dory,200000000,484405113,985205113
35,2010-06-18,Toy Story 3,200000000,415004880,1069818229
36,2013-05-03,Iron Man 3,200000000,408992272,1215392272
37,2004-06-30,Spider-Man 2,200000000,373524485,783705001
38,2010-03-05,Alice in Wonderland,200000000,334191110,1025491110
39,2012-11-08,Skyfall,200000000,304360277,1110526981
40,2013-06-21,Monsters University,200000000,268488329,743588329
41,2013-03-08,Oz the Great and Powerful,200000000,234770996,490359051
42,2014-05-23,X-Men: Days of Future Past,200000000,233921534,747862775
43,2014-05-02,The Amazing Spider-Man 2,200000000,202853933,708996336
44,2011-06-24,Cars 2,200000000,191450875,560155383
45,2010-12-17,Tron: Legacy,200000000,172062763,397562763
46,2009-11-13,2012,200000000,166112167,788408539
47,2009-05-21,Terminator Salvation,200000000,125322469,365491792
48,2011-06-17,Green Lantern,200000000,116601172,231201172
49,2010-05-28,Prince of Persia: Sands of Time,200000000,90759676,314594597
50,2011-06-29,Transformers: Dark of the Moon,195000000,352390543,1123790543
51,2013-03-01,Jack the Giant Slayer,195000000,65187603,197687603
52,2015-04-03,Furious 7,190000000,351032910,1514019071
53,2013-05-15,Star Trek Into Darkness,190000000,228778661,467381584
54,2013-06-21,World War Z,190000000,202359711,531514650
55,2013-05-10,The Great Gatsby,190000000,144840419,351040419
56,2009-11-06,Disney's A Christmas Carol,190000000,137855863,315709697
57,2013-07-12,Pacific Rim,190000000,101802906,411002906
58,2015-11-25,The Good Dinosaur,187500000,123087120,334354269
59,2008-05-02,Iron Man,186000000,318604126,582443126
60,2008-07-18,The Dark Knight,185000000,533345358,1002891358
61,2008-05-22,Indiana Jones and the Kingdom of the Crystal Skull,185000000,317023851,786558145
62,2012-06-22,Brave,185000000,237282182,554606532
63,2016-07-22,Star Trek Beyond,185000000,158428433,336228433
64,2005-12-09,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,291710957,720539572
65,2014-05-30,Maleficent,180000000,241407328,758536735
66,2008-06-27,WALL-E,180000000,223808164,532590994
67,2007-08-10,Rush Hour 3,180000000,140125968,256585882
68,2016-07-01,The Legend of Tarzan,180000000,126643061,349143061
69,2011-11-23,Hugo,180000000,73864507,180047784
70,2017-07-21,Valerian and the City of a Thousand Planets,180000000,0,0
71,2015-02-06,Jupiter Ascending,179000000,47482519,181982519
72,2016-05-27,X-Men: Apocalypse,178000000,155442489,542742489
73,2014-06-06,Edge of Tomorrow,178000000,100206256,364406256
74,2016-04-15,The Jungle Book,175000000,364001123,963901123
75,2015-06-19,Inside Out,175000000,356461711,853923085
76,2016-08-05,Suicide Squad,175000000,320840629,734440629
77,2009-05-29,Up,175000000,293004164,731542621
78,2009-03-27,Monsters vs. Aliens,175000000,198351526,381687380
79,2009-08-07,G.I. Joe: The Rise of Cobra,175000000,150201498,302469017
80,1999-06-30,Wild Wild West,175000000,113805681,221229335
81,2008-08-01,The Mummy: Tomb of the Dragon Emperor,175000000,102491776,405760225
82,2007-06-22,Evan Almighty,175000000,100289690,174131329
83,1995-07-28,Waterworld,175000000,88246220,264246220
84,2013-12-25,47 Ronin,175000000,38362475,151659062
85,2020-12-31,Singularity,175000000,0,0
86,2014-08-01,Guardians of the Galaxy,170000000,333172112,771172112
87,2010-05-07,Iron Man 2,170000000,312433331,623561331
88,2014-04-04,Captain America: The Winter Soldier,170000000,259746958,714401889
89,2014-07-11,Dawn of the Planet of the Apes,170000000,208545589,703545589
90,2004-11-10,The Polar Express,170000000,194949659,319090241
91,2012-06-01,Snow White and the Huntsman,170000000,155136755,401016924
92,2003-07-01,Terminator 3: Rise of the Machines,170000000,150358296,433058296
93,2004-05-07,Van Helsing,170000000,120150546,300150546
94,2015-05-22,Tomorrowland,170000000,93436322,205336322
95,2016-05-27,Alice Through the Looking Glass,170000000,77042381,277442381
96,2010-05-21,Shrek Forever After,165000000,238736787,756244673
97,2014-11-07,Big Hero 6,165000000,222527828,652127828
98,2010-03-26,How to Train Your Dragon,165000000,217581231,494870991
99,2012-11-02,Wreck-It Ralph,165000000,189412677,496511521
